Test,TestId,Type,Item,Message,Data,Path
CADDONREQ,200,Info,,"Behavior pack manifest found.",,/behavior_packs/pfe/manifest.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/8_ball.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/alloy_forge_face.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/alloy_forge_side.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/alloy_forge_top.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/astral_bulb.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_animated_block_breaker_face.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_animated_cobble_generator_face.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_animated_gear.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_arrow.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_block_breaker_face.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_bottom.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_cobble_generator_face.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_cobble_generator_side.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_dirter_side.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_face.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_gear.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_grills.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_lava_tank.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_sand.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_side.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_top.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_water_tank.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/beveled_limestone.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/bricks.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/cobalt_bulb.texture_set.json,
CADDONREQ,210,Error,,"Found a Vibrant Visuals related file, which is not supported in cooperative add-ons (for now).",,/resource_packs/pfe/textures/poke/pfe/cobalt_golem_block.texture_set.json,
