Test,TestId,Type,Item,Message,Data,Path
SHARING,210,Error,8_ball.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/8_ball.texture_set.json,
SHARING,210,Error,alloy_forge_face.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/alloy_forge_face.texture_set.json,
SHARING,210,Error,alloy_forge_side.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/alloy_forge_side.texture_set.json,
SHARING,210,Error,alloy_forge_top.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/alloy_forge_top.texture_set.json,
SHARING,210,Error,astral_bulb.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/astral_bulb.texture_set.json,
SHARING,210,Error,auto_arrow.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_arrow.texture_set.json,
SHARING,210,Error,auto_block_breaker_face.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_block_breaker_face.texture_set.json,
SHARING,210,Error,auto_bottom.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_bottom.texture_set.json,
SHARING,210,Error,auto_cobble_generator_face.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_cobble_generator_face.texture_set.json,
SHARING,210,Error,auto_cobble_generator_side.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_cobble_generator_side.texture_set.json,
SHARING,210,Error,auto_dirter_side.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_dirter_side.texture_set.json,
SHARING,210,Error,auto_face.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_face.texture_set.json,
SHARING,210,Error,auto_gear.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_gear.texture_set.json,
SHARING,210,Error,auto_grills.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_grills.texture_set.json,
SHARING,210,Error,auto_lava_tank.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_lava_tank.texture_set.json,
SHARING,210,Error,auto_sand.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_sand.texture_set.json,
SHARING,210,Error,auto_side.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_side.texture_set.json,
SHARING,210,Error,auto_top.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_top.texture_set.json,
SHARING,210,Error,auto_water_tank.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/auto_water_tank.texture_set.json,
SHARING,210,Error,beveled_limestone.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/beveled_limestone.texture_set.json,
SHARING,210,Error,bricks.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/bricks.texture_set.json,
SHARING,210,Error,cobalt_bulb.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/cobalt_bulb.texture_set.json,
SHARING,210,Error,cobalt_golem_block.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/cobalt_golem_block.texture_set.json,
SHARING,210,Error,cobbled_limestone.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/cobbled_limestone.texture_set.json,
SHARING,210,Error,cobbled_shadowstone.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/cobbled_shadowstone.texture_set.json,
SHARING,210,Error,cracked_bricks.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/cracked_bricks.texture_set.json,
SHARING,210,Error,cracked_honey_bricks.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/cracked_honey_bricks.texture_set.json,
SHARING,210,Error,cracked_limestone_bricks.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/cracked_limestone_bricks.texture_set.json,
SHARING,210,Error,cube_cosmetic_attachable.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/cube_cosmetic_attachable.texture_set.json,
SHARING,210,Error,cut_block.texture_set.json,"Found a Vibrant Visuals related file, which is not supported in sharing scenarios (for now).",,/resource_packs/pfe/textures/poke/pfe/cut_block.texture_set.json,
